season,qb_name,team,dropbacks,QBVision_Rating,next_QBVision_Rating,epa_per_db,context_pred_epa_per_db,skill_residual,int_rate,sack_rate,ay_per_att,yac_per_comp,team_sack_rate_allowed,team_yac_per_comp,team_no_huddle_rate,efficiency_score,decision_score,explosiveness_score,mobility_score
2021,J.Hurts,PHI,509,58.074826360346684,66.35311563770259,0.0846219,0.09311959849845286,-0.00849769849845286,0.0176817288801571,0.0510805500982318,8.457516339869281,5.520755,0.0533562822719449,5.631922,0.153184165232358,0.4016502860971368,0.4771871755715331,1.806635298829008,0.0
2022,J.Hurts,PHI,542,66.35311563770259,62.86125092817683,0.12475499,0.044175639963956875,0.08057935003604312,0.011070110701107,0.070110701107011,7.4649298597194385,5.888889,0.0704,5.865714,0.2016,0.8734442064173777,0.8381702516818713,0.35731373875614764,0.0
2023,J.Hurts,PHI,623,62.86125092817683,70.22378199741877,0.09525928,0.027008746538472798,0.06825053346152721,0.0240770465489566,0.0577849117174959,8.066086956521739,4.8210225,0.0597243491577335,4.8401084,0.1531393568147013,0.7798492995927068,0.007442493481891882,0.8921845414309277,0.0
2024,J.Hurts,PHI,438,70.22378199741877,62.023585483953426,0.16955028,-0.043585515506140086,0.2131357955061401,0.0114155251141552,0.0867579908675799,7.0551378446115285,5.544355,0.0841121495327102,5.181518,0.2299065420560747,0.9659312942655622,0.19640539327250156,-0.05697425486048133,0.0
2025,J.Hurts,PHI,526,62.023585483953426,,0.08267588,-0.014171776633667747,0.09684765663366773,0.0114068441064638,0.0608365019011406,8.378600823045268,4.302721,0.0608695652173913,4.292453,0.2017391304347826,0.3730592518425089,0.6320275152041417,1.1718374639358362,0.0
2023,J.Love,GB,633,65.30784118459955,57.35453954203097,0.13183801,0.09192653011565803,0.039911479884341974,0.0173775671406003,0.0473933649289099,8.042692939244663,5.153226,0.0471698113207547,5.147059,0.1053459119496855,1.0655051665577442,0.6034410378974412,0.9197918787897853,0.0
2024,J.Love,GB,454,57.35453954203097,76.82161083368376,0.13702604,0.17060114522176062,-0.03357510522176063,0.0242290748898678,0.0308370044052863,8.5,6.171642,0.0419047619047619,6.2597404,0.1219047619047619,0.7889844964725174,0.3197697954146359,1.3883570021083946,0.0
2025,J.Love,GB,485,76.82161083368376,,0.26225385,0.07115547495462421,0.1910983750453758,0.0123711340206185,0.0432989690721649,8.396963123644252,5.19244,0.0523465703971119,5.0762196,0.1028880866425992,1.6698941945702137,0.8991505252993116,1.330948463408407,0.0
2025,J.McCarthy,MIN,290,30.745037947821007,,-0.15108532,-0.09674443356796103,-0.054340886432038965,0.0413793103448275,0.093103448275862,7.846153846153846,4.9428573,0.1043478260869565,5.1375837,0.1043478260869565,-1.4221744394140448,-2.0187078424374647,0.7144524500781538,0.0
2018,J.Rosen,ARI,452,10.60631431765568,,-0.3261077,-0.09513851227917858,-0.23096918772082142,0.0309734513274336,0.0995575221238938,7.447488584474886,4.488479,0.0923623445825932,4.4310956,0.0852575488454707,-2.896161872544024,-1.2984570459212388,-0.20630277283561552,0.0
2018,J.Winston,TB,443,62.48046406255389,50.6612107063933,0.13381612,0.01147181942040331,0.1223443005795967,0.0316027088036117,0.0609480812641083,10.03931203931204,3.668033,0.0563186813186813,4.3357844,0.1373626373626373,0.5739941899133328,-0.690178863387446,2.2694159205986555,0.0
2019,J.Winston,TB,707,50.6612107063933,66.08975338910315,0.06782501,0.02780027460669871,0.0400247353933013,0.0424328147100424,0.0664780763790664,9.61572700296736,4.9605265,0.0661040787623066,4.9685864,0.0393811533052039,0.08423315470071174,-1.5100785314535963,2.135462657723952,0.0
2021,J.Winston,NO,189,66.08975338910315,43.00796350276682,0.17640941,0.07876860972809555,0.09764080027190444,0.0158730158730158,0.0582010582010582,7.790697674418604,6.0842104,0.06368330464716,5.757679,0.0550774526678141,1.029260587712227,0.43382684347251677,0.9451898943711378,0.0
2024,J.Winston,CLE,334,43.00796350276682,,-0.067629896,-0.09103853483135596,0.023408638831355966,0.0359281437125748,0.0718562874251497,8.098159509202453,4.226519,0.0857142857142857,4.3316455,0.1805194805194805,-0.7386122100154362,-1.2541605008786372,0.7369444861770346,0.0
2019,K.Allen,CAR,555,39.11579225713255,,-0.041445788,-0.008865152725819607,-0.03258063527418039,0.0288288288288288,0.0828828828828828,7.442164179104478,5.4356437,0.0810055865921787,5.3193717,0.0991620111731843,-0.742535920054689,-0.9383419494037553,-0.09819727941515297,0.0
2018,K.Cousins,MIN,665,42.5425964464361,61.01619793354894,-0.03229738,0.018844594774273974,-0.05114197477427397,0.0150375939849624,0.0601503759398496,6.783950617283951,4.5811763,0.0601503759398496,4.5811763,0.0902255639097744,-0.6045424023311251,0.5360550693751606,-0.8577681756355006,0.0
2019,K.Cousins,MIN,484,61.01619793354894,57.46013266812724,0.16823742,0.10198767848467549,0.0662497415153245,0.012396694214876,0.0578512396694214,7.138947368421053,5.8143325,0.0553359683794466,5.802508,0.108695652173913,0.9690615158679874,0.6031310475883501,-0.36000824232197176,0.0
2020,K.Cousins,MIN,575,57.46013266812724,61.05401260823024,0.16294153,0.05301654346733313,0.10992498653266687,0.0226086956521739,0.0678260869565217,7.353046594982079,5.547278,0.0677083333333333,5.547278,0.0590277777777777,0.6612532872633945,-0.49650790655747334,0.20482594765480003,0.0
2021,K.Cousins,MIN,602,61.05401260823024,53.94389233629479,0.10967493,0.08498263710731413,0.024692292892685874,0.0116279069767441,0.0465116279069767,7.7904599659284495,4.873656,0.0462962962962962,4.8844223,0.0648148148148148,0.5990031019371258,1.015777889310164,0.6762071432372181,0.0
2022,K.Cousins,MIN,702,53.94389233629479,62.73067941718297,0.04081991,-0.0014460485219257788,0.04226595852192578,0.0199430199430199,0.0655270655270655,6.98695652173913,4.6084905,0.0640326975476839,4.691964,0.1989100817438692,0.15831906024104148,-0.04177508442233058,-0.3602809537240974,0.0
2023,K.Cousins,MIN,329,62.73067941718297,43.92692499171735,0.0670983,-0.011120748199541376,0.07821904819954137,0.0151975683890577,0.0516717325227963,6.904907975460123,4.611111,0.0662905500705218,4.542453,0.1495063469675599,0.6220155708491006,0.6791624966444603,-0.3533023757019291,0.0
2024,K.Cousins,ATL,481,43.92692499171735,39.21031746992427,0.033650987,0.07425035553785458,-0.040599368537854584,0.0332640332640332,0.0582120582120582,7.058577405857741,5.567657,0.0536912751677852,5.379121,0.1795302013422818,-0.002290817674523802,-0.816921292061716,-0.05046128314642632,0.0
2025,K.Cousins,ATL,283,39.21031746992427,,-0.023036778,0.12416946603156445,-0.14720624403156446,0.0176678445229682,0.0459363957597173,6.651245551601424,5.9216866,0.0443686006825938,5.6355424,0.1433447098976109,-0.3707853632529763,0.48885716518339534,-0.3839635120386067,0.0
2019,K.Murray,ARI,617,45.67552187719329,53.05685305600566,-0.009909485,-0.031349417180140456,0.021439932180140453,0.019448946515397,0.0777957860615883,6.884550084889644,5.289398,0.0789889415481832,5.2957745,0.3175355450236967,-0.46075405651600826,-0.23301138288402123,-0.7139622346806607,0.0
2020,K.Murray,ARI,629,53.05685305600566,63.22828536403014,0.07748021,0.04462396371093356,0.032856246289066436,0.0190779014308426,0.0429252782193958,7.521588946459413,4.653333,0.044753086419753,4.7932816,0.3811728395061728,0.0839505359867784,0.3864258156872417,0.24578227629579075,0.0
2021,K.Murray,ARI,543,63.22828536403014,50.4354979168319,0.13776085,0.029764679399497077,0.10799617060050291,0.0184162062615101,0.0570902394106814,7.437743190661479,5.3513513,0.0585585585585585,5.4240966,0.4234234234234234,0.7569553351296304,0.2805139326564364,0.26040801186948825,0.0
2022,K.Murray,ARI,443,50.4354979168319,52.204481122480836,-0.004357422,-0.007744577617197997,0.003387155617197997,0.0158013544018058,0.0564334085778781,6.406698564593301,4.8416986,0.0610889774236387,4.752887,0.351925630810093,-0.1834066562591311,0.600595664988593,-0.9442635786369462,0.0
2023,K.Murray,ARI,305,52.204481122480836,55.58928162982386,-0.014792863,0.0008241722361489318,-0.015617035236148932,0.0163934426229508,0.0590163934426229,6.695501730103806,5.5511365,0.0661417322834645,4.7014084,0.1307086614173228,0.04668255816899175,0.48805033166424105,-0.42473422724341575,0.0
